frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
316227.7660168379,1986917.65315922,1.2999999998926126e-09,5.999258943515133e-15,6.83018628931838e-08,2.3958287019934104e-10,6.960186289307642e-08,2.3958886945828456e-10,0.0009629629628834168,4.443895513714914e-09,0.05059397251346949,0.00017746879274025264,0.05155693547635291,0.00017747323663576636,0.09455693547635291,0.0015842109350724942
421696.5034285823,2649597.274431474,1.2999999999396107e-09,4.498809543425437e-15,6.83339799310039e-08,2.0747401654252186e-10,6.963397993094352e-08,2.0747851535206528e-10,0.0009629629629182302,3.3324515136484723e-09,0.05061776291185474,0.00015368445669816435,0.05158072587477298,0.00015368778914967799,0.09458072587477298,0.0020296026594471615
562341.3251903491,3533294.7520558992,1.2999999999660408e-09,3.3736312260936453e-15,6.836179214015248e-08,1.7966794485885937e-10,6.966179214011852e-08,1.7967131849008547e-10,0.0009629629629378081,2.4989860934027005e-09,0.0506383645482611,0.00013308736656211806,0.05160132751119891,0.00013308986554821147,0.0946013275111989,0.0026346625500037885
749894.2093324559,4711724.2780167395,1.2999999999809044e-09,2.529866521119292e-15,6.838587652117502e-08,1.555881664212829e-10,6.968587652115593e-08,1.5559069628780402e-10,0.0009629629629488182,1.8739752008291054e-09,0.05065620483050002,0.00011525049364539474,0.051619167793448835,0.00011525236762059557,0.09461916779344884,0.0034511531564564474
1000000.0,6283185.307179586,1.2999999999892612e-09,1.8971322546762e-15,6.840673273598528e-08,1.3473540315057898e-10,6.970673273597454e-08,1.3473730028283366e-10,0.0009629629629550083,1.405283151612e-09,0.05067165387850762,9.980400233376222e-05,0.05163461684146262,9.980540761691383e-05,0.09463461684146263,0.004548300605100061
1333521.432163324,8378762.269377677,1.2999999999939596e-09,1.4226484921637005e-15,6.842479347399306e-08,1.1667725348966077e-10,6.972479347398701e-08,1.1667867613815293e-10,0.0009629629629584886,1.0538136978990376e-09,0.05068503220295782,8.64275951775265e-05,0.05164799516591631,8.64286489912244e-05,0.09464799516591631,0.00601859233571062
1778279.410038923,11173259.061216542,1.2999999999966047e-09,1.0668358662077442e-15,6.844043342880096e-08,1.0103923970484648e-10,6.974043342879756e-08,1.0104030654071269e-10,0.000962962962960448,7.902487897835142e-10,0.05069661735466738,7.484388126284925e-05,0.05165958031762783,7.484467151163904e-05,0.09465958031762783,0.007985512086852952
2371373.7056616554,14899780.425245322,1.299999999998092e-09,8.000140383852215e-16,6.845397707170982e-08,8.749705238233062e-11,6.97539770717079e-08,8.749785239636901e-11,0.0009629629629615496,5.926029913964604e-10,0.05070664968274802,6.481263139431898e-05,0.05166961264570956,6.481322399731038e-05,0.09466961264570956,0.010613857765070999
3162277.6601683795,19869176.5315922,1.2999999999989258e-09,5.999258947730644e-16,6.846570538329415e-08,7.576983234950934e-11,6.976570538329307e-08,7.577043227540412e-11,0.0009629629629621673,4.443895516837514e-10,0.050715337320958634,5.6125801740377296e-05,0.05167830028392079,5.6126246129928976e-05,0.0946783002839208,0.014123503230497209
4216965.034285823,26495972.74431474,1.2999999999993933e-09,4.498809545203109e-16,6.847586168270995e-08,6.561435149162522e-11,6.977586168270935e-08,6.561480137257974e-11,0.0009629629629625136,3.332451514965266e-10,0.05072286050571108,4.86032233271298e-05,0.0516858234686736,4.860355657228129e-05,0.0946858234686736,0.01880775225954712
5623413.251903491,35332947.52055899,1.2999999999996605e-09,3.3736312268432805e-16,6.848465667566891e-08,5.6819972371485037e-11,6.978465667566857e-08,5.682030973460772e-11,0.0009629629629627116,2.498986093957986e-10,0.050729375315310306,4.2088868423322254e-05,0.05169233827827302,4.208911832193165e-05,0.09469233827827302,0.0250578159628777
7498942.093324558,47117242.78016739,1.2999999999998092e-09,2.5298665214354123e-16,6.849227282579987e-08,4.92042825586932e-11,6.979227282579967e-08,4.920453554534534e-11,0.0009629629629628217,1.8739752010632684e-10,0.050735016907999905,3.644761671014311e-05,0.051697979870962724,3.644780410766322e-05,0.09469797987096272,0.03339545569246618
10000000.0,62831853.071795866,1.2999999999998917e-09,1.8971322548095074e-16,6.849886814009725e-08,4.2609313453626714e-11,6.979886814009713e-08,4.26095031668522e-11,0.0009629629629628828,1.4052831517107462e-10,0.05073990232599796,3.156245441009386e-05,0.05170286528896084,3.156259493840904e-05,0.09470286528896084,0.044516514569769884
13335214.32163324,83787622.69377677,1.2999999999999378e-09,1.4226484922199146e-16,6.850457944698312e-08,3.689826542826953e-11,6.980457944698306e-08,3.689840769311875e-11,0.0009629629629629169,1.0538136979406776e-10,0.050744132923691204,2.7332048465384838e-05,0.05170709588665412,2.733215384675463e-05,0.09470709588665412,0.05934896902104071
