frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
14,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
14,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
14,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
14,1.0,grain,0.013000978825175086,1.6797567777132227e-09,1e-08,0.0
14,2.5,grain,0.013000978827596488,6.719043732268833e-10,1e-08,0.0
14,10.0,grain,0.013000978828028881,1.6797616750968694e-10,1e-08,0.0
14,100.0,grain,0.01300097882805742,1.6797617240708496e-11,1e-08,0.0
14,1000.0,grain,0.013000978828057706,1.6797617245605897e-12,1e-08,0.0
14,10000.0,grain,0.013000978828057709,1.679761724565487e-13,1e-08,0.0
14,1.0,all,0.013000978825175086,6.128251975196369e-09,1e-08,4.726526147325844e-10
14,2.5,all,0.013000978827596488,1.1793142366934753e-08,1e-08,1.1816315368314611e-09
14,10.0,all,0.013000978828028881,4.465292814234117e-08,1e-08,4.7265261473258444e-09
14,100.0,all,0.01300097882805742,4.4486631736555546e-07,1e-08,4.7265261473258444e-08
14,1000.0,all,0.013000978828057706,4.4484968772448716e-06,1e-08,4.726526147325844e-07
14,10000.0,all,0.013000978828057709,4.4484952142807655e-05,1e-08,4.726526147325844e-06
15,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
15,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
15,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
15,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
15,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
15,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
15,1.0,grain,0.013000941026709161,1.8539661626159184e-09,1e-08,0.0
15,2.5,grain,0.013000941029777339,7.415888829585174e-10,1e-08,0.0
15,10.0,grain,0.01300094103032523,1.8539732868255083e-10,1e-08,0.0
15,100.0,grain,0.01300094103036139,1.8539733580678812e-11,1e-08,0.0
15,1000.0,grain,0.013000941030361753,1.853973358780305e-12,1e-08,0.0
15,10000.0,grain,0.013000941030361757,1.8539733587874286e-13,1e-08,0.0
15,1.0,all,0.013000941026709161,6.302461360099065e-09,1e-08,4.726526147325844e-10
15,2.5,all,0.013000941029777339,1.1862826876666388e-08,1e-08,1.1816315368314611e-09
15,10.0,all,0.01300094103032523,4.4670349303514025e-08,1e-08,4.7265261473258444e-09
15,100.0,all,0.01300094103036139,4.4486805948189545e-07,1e-08,4.7265261473258444e-08
15,1000.0,all,0.013000941030361753,4.448497051456505e-06,1e-08,4.726526147325844e-07
15,10000.0,all,0.013000941030361757,4.448495216022882e-05,1e-08,4.726526147325844e-06
16,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
16,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
16,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
16,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
16,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
16,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
16,1.0,grain,0.01300084456878986,1.9090577287841206e-09,1e-08,0.0
16,2.5,grain,0.013000844572414643,7.636263688879919e-10,1e-08,0.0
16,10.0,grain,0.013000844573061929,1.9090673853409264e-10,1e-08,0.0
16,100.0,grain,0.01300084457310465,1.9090674819069877e-11,1e-08,0.0
16,1000.0,grain,0.013000844573105077,1.909067482872649e-12,1e-08,0.0
16,10000.0,grain,0.013000844573105082,1.909067482882305e-13,1e-08,0.0
16,1.0,all,0.01300084456878986,6.357552926267267e-09,1e-08,4.726526147325844e-10
