frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
7.498942093324558,47.117242780167395,1.2237837624060023e-09,1.7885230194561893e-10,3.497124444623112e-08,1.1243464073072721e-08,3.619502820863712e-08,1.142231637501834e-08,0.0009065064906711129,0.0001324831866263844,0.025904625515726757,0.008328491905979793,0.02681113200639787,0.008460975092606179,0.06981113200639787,0.008461008451614066
10.0,62.83185307179586,1.2467046085830027e-09,1.4645268137931206e-10,3.709719880150423e-08,1.1334750540013334e-08,3.834390341008724e-08,1.1481203221392645e-08,0.0009234848952466687,0.00010848346768837931,0.027479406519632765,0.008396111511120989,0.028402891414879436,0.008504594978809368,0.07140289141487943,0.008504639463761343
13.33521432163324,83.78762269377677,1.2639532761897076e-09,1.1813192673785795e-10,3.926631326676842e-08,1.1393443521212682e-08,4.053026654295813e-08,1.151157544795054e-08,0.0009362616860664502,8.750513091693182e-05,0.029086157975384018,0.008439587793490876,0.03002241966145047,0.008527092924407807,0.07302241966145047,0.008527152246044674
17.78279410038923,111.73259061216542,1.2764555966692257e-09,9.384153964402835e-11,4.1474577788085e-08,1.1396002846030855e-08,4.2751033384754225e-08,1.1489844385674884e-08,0.0009455226641994265,6.951225158816916e-05,0.030721909472655556,0.008441483589652486,0.03166743213685498,0.008510995841240656,0.07466743213685498,0.00851107494791481
23.71373705661655,148.9978042524532,1.285132173314026e-09,7.347802892853626e-11,4.370638655621228e-08,1.1318175056043686e-08,4.499151872952631e-08,1.1391653084972222e-08,0.0009519497580103897,5.442816957669352e-05,0.032375101152749844,0.008383833374847174,0.033327050910760235,0.008438261544423868,0.07632705091076022,0.008438367034869278
31.622776601683793,198.691765315922,1.2908911313558575e-09,5.681955671880617e-11,4.593551032223731e-08,1.1140574094155506e-08,4.722640145359317e-08,1.1197393650874312e-08,0.0009562156528561908,4.2088560532449016e-05,0.03402630394239801,0.008252277106781856,0.034982519595254204,0.008294365667314306,0.07798251959525421,0.008294506341084149
42.169650342858226,264.9597274431474,1.2945590449319862e-09,4.3502991270822745e-11,4.8128687513294405e-08,1.0852838819592732e-08,4.9423246558226394e-08,1.0896341810863555e-08,0.0009589326258755454,3.222443797838722e-05,0.03565087963947734,0.008039139866364987,0.036609812265352884,0.008071364304343374,0.07960981226535288,0.008071551895830404
56.23413251903491,353.3294752055899,1.2968140192393151e-09,3.306326013096834e-11,5.0250409430413245e-08,1.0455472637842155e-08,5.154722344965256e-08,1.0488535897973123e-08,0.0009606029772143076,2.4491303800717293e-05,0.03722252550400981,0.007744794546549745,0.03818312848122412,0.007769285850350462,0.08118312848122411,0.007769536007618908
74.98942093324558,471.17242780167396,1.298161484548239e-09,2.5001160736390175e-11,5.226765050150224e-08,9.95956157579188e-09,5.356581198605048e-08,9.98456273652827e-09,0.0009616010996653622,1.851937832325198e-05,0.038716778149260916,0.007377453019105097,0.03967837924892628,0.007395972397428349,0.08267837924892628,0.007396305987507232
100.0,628.3185307179587,1.2989496172195158e-09,1.8842137298434082e-11,5.4153950208774875e-08,9.384838561046574e-09,5.545289982599439e-08,9.403680698345007e-09,0.0009621849016440858,1.3957138739580802e-05,0.0401140371916851,0.006951732267441907,0.04107622209332918,0.0069656894061814875,0.08407622209332918,0.006966134255701236
