frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
23713737.056616552,148997804.2524532,1.2999999999998284e-09,1.2020028835819304e-16,,,1.2999999999998284e-09,1.2020028835819304e-16,0.0009629629629628359,8.903725063569855e-11,,,0.0009629629629628359,8.903725063569855e-11,0.043962962962962836,0.10549044549977413
31622776.60168379,198691765.315922,1.2999999999999035e-09,9.013750020052285e-17,,,1.2999999999999035e-09,9.013750020052285e-17,0.0009629629629628915,6.676851866705397e-11,,,0.0009629629629628915,6.676851866705397e-11,0.04396296296296289,0.14067376991044128
42169650.342858225,264959727.4431474,1.2999999999999459e-09,6.759358944433764e-17,,,1.2999999999999459e-09,6.759358944433764e-17,0.000962962962962923,5.0069325514324186e-11,,,0.000962962962962923,5.0069325514324186e-11,0.04396296296296292,0.1875914870798177
56234132.51903491,353329475.2055899,1.2999999999999695e-09,5.0688041312414896e-17,,,1.2999999999999695e-09,5.0688041312414896e-17,0.0009629629629629404,3.754669726845548e-11,,,0.0009629629629629404,3.754669726845548e-11,0.04396296296296294,0.2501572684831043
74989420.93324558,471172427.80167395,1.2999999999999829e-09,3.801066866263091e-17,,,1.2999999999999829e-09,3.801066866263091e-17,0.0009629629629629503,2.8156050861208083e-11,,,0.0009629629629629503,2.8156050861208083e-11,0.04396296296296295,0.3335900789117412
100000000.0,628318530.7179586,1.2999999999999905e-09,2.850398032298124e-17,,,1.2999999999999905e-09,2.850398032298124e-17,0.000962962962962956,2.1114059498504625e-11,,,0.000962962962962956,2.1114059498504625e-11,0.043962962962962954,0.44484951976942877
133352143.2163324,837876226.9377677,1.2999999999999947e-09,2.1374969787138197e-17,,,1.2999999999999947e-09,2.1374969787138197e-17,0.0009629629629629591,1.5833310953435703e-11,,,0.0009629629629629591,1.5833310953435703e-11,0.043962962962962954,0.5932163686877729
177827941.00389227,1117325906.1216543,1.2999999999999972e-09,1.6028966068034632e-17,,,1.2999999999999972e-09,1.6028966068034632e-17,0.0009629629629629609,1.1873308198544172e-11,,,0.0009629629629629609,1.1873308198544172e-11,0.04396296296296296,0.7910667415460045
237137370.56616554,1489978042.524532,1.2999999999999984e-09,1.202002883600707e-17,,,1.2999999999999984e-09,1.202002883600707e-17,0.0009629629629629618,8.903725063708941e-12,,,0.0009629629629629618,8.903725063708941e-12,0.04396296296296296,1.0549044541162724
316227766.01683795,1986917653.1592202,1.2999999999999992e-09,9.013750020131462e-18,,,1.2999999999999992e-09,9.013750020131462e-18,0.0009629629629629624,6.676851866764047e-12,,,0.0009629629629629624,6.676851866764047e-12,0.04396296296296296,1.4067376984434048
421696503.42858225,2649597274.431474,1.2999999999999994e-09,6.759358944467153e-18,,,1.2999999999999994e-09,6.759358944467153e-18,0.0009629629629629626,5.006932551457151e-12,,,0.0009629629629629626,5.006932551457151e-12,0.04396296296296296,1.8759148703024908
562341325.1903491,3533294752.055899,1.2999999999999996e-09,5.06880413125557e-18,,,1.2999999999999996e-09,5.06880413125557e-18,0.0009629629629629628,3.754669726855978e-12,,,0.0009629629629629628,3.754669726855978e-12,0.04396296296296296,2.5015726844593313
749894209.3324559,4711724278.01674,1.3e-09,3.801066866269027e-18,,,1.3e-09,3.801066866269027e-18,0.0009629629629629631,2.8156050861252056e-12,,,0.0009629629629629631,2.8156050861252056e-12,0.04396296296296296,3.3359007888386674
1000000000.0,6283185307.179586,1.3e-09,2.8503980323006282e-18,,,1.3e-09,2.8503980323006282e-18,0.0009629629629629631,2.1114059498523174e-12,,,0.0009629629629629631,2.1114059498523174e-12,0.04396296296296296,4.448495197485259
